Statement,Label
Syrian government to blame for April sarin attack: U.N. report,TRUE
Syrian government welcomes committee to discuss constitution,TRUE
Syrian govt delegation to return to Geneva on Sunday for peace talks: SANA,TRUE
Syrian hostages who escaped Islamic State receive rapturous homecoming,TRUE
SYRIAN IMMIGRANT Who Said “9-11 Changed The World For Good”…Calls Syria Her “Homeland” Is Homeland Security Advisor,FALSE
SYRIAN IMMIGRANT Who Said “9-11 Changed The World For Good”…Calls Syria Her “Homeland” Is Homeland Security Advisor,FALSE
SYRIAN IMMIGRANT Who Said “9-11 Changed The World For Good”…Calls Syria Her “Homeland” Is Homeland Security Advisor,FALSE
Syrian jets take off from air base U.S. missiles struck: Syrian Observatory,TRUE
Syrian jihadist alliance decries rebel groups planning incursion: statement,TRUE
Syrian Kurdish leaders back longer U.S role in Syria,TRUE
"Syrian Kurdish militia attacks Turkish outpost in Syria's Idlib, no casualties: Anadolu",TRUE
Syrian Kurdish militia open fire on Turkish border post: CNN Turk,TRUE
Syrian Kurdish YPG accuses Turkey of Afrin aggression,TRUE
Syrian Kurdish YPG says seized eastern region from Islamic State,TRUE
"Syrian Kurds favor attending Russia-backed peace talks, party head says",TRUE
"Syrian Kurds hold local elections, press on with autonomy plans",TRUE
Syrian Kurds say Russia has promised they can attend Sochi talks,TRUE
"Syrian migrant tells Germans: Cherish your democracy, go vote!",TRUE
Syrian militant group releases video of leader apparently uninjured,TRUE
Syrian militias aim to push Islamic State out of Raqqa within a month,TRUE
SYRIAN MUSLIM IMMIGRANT HAIRDRESSER SLITS Female Employer’s Throat After Media Hailed Him As “Example Of Successful Integration”,FALSE
SYRIAN MUSLIM IMMIGRANT HAIRDRESSER SLITS Female Employer’s Throat After Media Hailed Him As “Example Of Successful Integration”,FALSE
SYRIAN MUSLIM MAN WHOSE Family Perished On Trip So He Could Get Free Dental Care Has New Spokesperson Role,FALSE
SYRIAN MUSLIM MAN WHOSE Family Perished On Trip So He Could Get Free Dental Care Has New Spokesperson Role,FALSE
"Syrian Observatory says IS cut Deir al-Zor road, military source denies",TRUE
Syrian Observatory: Islamic State captures town from government,TRUE
Syrian opposition aims for Assad's removal in Geneva talks,TRUE
Syrian opposition chief says Sochi does not serve political process,TRUE
Syrian opposition leader says U.N. mediation has failed,TRUE
Syrian opposition must accept it has not won the war: U.N.,TRUE
Syrian opposition picks chief negotiator ahead of new Geneva talks,TRUE
Syrian opposition rejects Russia-sponsored peace initiative,TRUE
Syrian opposition says Russian jets kill civilians fleeing across Euphrates,TRUE
Syrian opposition says U.N. talks are in 'great danger',TRUE
Syrian opposition SNC wont participate in Russia-sponsored congress: spokesman,TRUE
Syrian opposition to form delegation to take part in U.N. talks,TRUE
Syrian opposition: Russia conference aims to rehabilitate Assad,TRUE
Syrian political opposition says hopes Clinton wins U.S. presidency,TRUE
Syrian presidency vows to step up campaign against militants,TRUE
Syrian president says Jerusalem to be Palestinian capital,TRUE
Syrian rebel groups reject Russian-sponsored Sochi conference,TRUE
Syrian rebels down army helicopter in southwest: Observatory,TRUE
Syrian rebels hand border crossing to opposition government,TRUE
Syrian rebels resist Jordan pressure to hand over border crossing,TRUE
Syrian rebels say discussing evacuation from territory near Israel,TRUE
Syrian rebels say discussing evacuation from territory near Israel,TRUE
Syrian rebels say U.S. allies push for retreat from southeast Syria,TRUE
Syrian rebels say U.S. responsibility doesn't end with raid,TRUE
SYRIAN REFUGEE Family LIED About BED BUG Infestation To Get Better Housing,FALSE
SYRIAN REFUGEE Family LIED About BED BUG Infestation To Get Better Housing,FALSE
Syrian Refugee Receives RIDICULOUS Sentence For Trafficking 13 and 14-Yr Old Girls While On Bail For Raping 17-Yr Old,FALSE
SYRIAN REFUGEE Who Shocked CNN Anchor Is Back! Slams Obama’s Policy On Syria: Obama tarnished America’s image [Video],FALSE
Syrian refugees should return to calmer areas: Lebanon president,TRUE
SYRIAN REFUGEES Spreading Catastrophic Outbreak Of FLESH EATING DISEASE To Host Nations…Disease Is Difficult To Detect In Refugees Coming To U.S.,FALSE
SYRIAN REFUGEES Spreading Catastrophic Outbreak Of FLESH EATING DISEASE To Host Nations…Disease Is Difficult To Detect In Refugees Coming To U.S.,FALSE
SYRIAN REFUGEES Spreading Catastrophic Outbreak Of FLESH EATING DISEASE To Host Nations…Disease Is Difficult To Detect In Refugees Coming To U.S.,FALSE
Syrian regime bears 'full responsibility' for U.S. strikes: NATO,TRUE
Syrian town struggles to cope alone after key victory over Islamic State,TRUE
Syrian walkout from talks 'an embarrassment to Russia': opposition,TRUE
Syrian war monitor says strikes hit military science center,TRUE
"Syrian, Iranian backed forces advance in border area near Israel",TRUE
"Syrian, Russian jets bomb residential areas in eastern Ghouta: witnesses, monitor",TRUE
Syrians vote in Kurdish-led regions of north,TRUE
Syria's Assad calls U.S.-backed militias 'traitors',TRUE
Syria's Assad discussed peace process with Putin's envoy: RIA,TRUE
Syria's Assad meets once dissident footballers in Damascus,TRUE
Syria's Assad: Trump can be our natural ally,TRUE
"Syria's Deir al-Zor air base working again: state media, monitors",TRUE
Syria's Eastern Ghouta faces 'complete catastrophe': U.N.,TRUE
Syria's Kurds to hold historic vote in 'message' to Assad,TRUE
Syria's Kurds to hold second phase of elections in north,TRUE
Syria's militant ex-Qaeda group denies leader injured in Russian strike,TRUE
"Syria's Moualem says victory within reach, de-escalation zones temporary",TRUE
TABLES TURNED! CONSERVATIVE GROUP FILES ETHICS COMPLAINT Against Dem Political Hack Adam Schiff [Video],FALSE
Taiwan activist to be tried for subversion in China in 'open' hearing,TRUE
Taiwan appoints new premier to drive reform efforts,TRUE
Taiwan calls on China to view Trump call 'calmly',TRUE
Taiwan hopes to find 'natural way' to engage with China's Xi at APEC,TRUE
Taiwan jails mainland Chinese man on national security charge,TRUE
Taiwan premier resigns to help shore up president's falling popularity,TRUE
Taiwan president arrives in Hawaii despite Chinese objections,TRUE
Taiwan president calls for breakthrough in China relations,TRUE
Taiwan president pledges to defend freedoms despite China pressure,TRUE
Taiwan president visits U.S. territory of Guam despite Chinese ire,TRUE
"Taiwan presidential office says Trump, Tsai exchanged views on Taiwan-U.S. relations",TRUE
Taiwan says Chinese air force exercised near island 16 times in last year,TRUE
Taiwan says contact with Trump agreed ahead of time-presidential office,TRUE
"Taiwan says it aims to keep strong ties with U.S., China",TRUE
Taiwan says its 23 million people will decide their future,TRUE
Taiwan says no plans 'at this stage' for phone call with U.S. president,TRUE
Taiwan says shut out of U.N. climate talks due to China pressure,TRUE
Taiwan seeks to build soft power with retooled southbound policy,TRUE
"Taiwan suspends oil exports to North Korea, imports of clothing",TRUE
Taiwan tells U.S. it does not want to cause trouble in Taiwan Strait,TRUE
"Taiwan the most important issue in Sino-U.S. ties, China's Xi tells Trump",TRUE
"Taiwan the most important issue in Sino-U.S. ties, China's Xi tells Trump",TRUE
Taiwan to allow visa-free entry for visitors from Philippines,TRUE
"Taiwan to boost defense spending, U.S. concerned over possible military imbalance: official media",TRUE
"Taiwan's new premier vows to 'build country', scrap investment hurdles",TRUE
"Taiwan's Tsai: no major policy shifts, despite Trump call - reports",TRUE
Tajikistan agrees to more intelligence exchanges with China,TRUE
Takata parts involved in blast were shipped properly: NTSB,TRUE
TAKE A LOOK INSIDE THE NEW “PUTIN CAFE” Featuring Obama Toilet Paper In Restrooms,FALSE
